level,item_code,item_name,n_days,zero_share,mean_qty_kg,median_qty_kg,std_qty_kg,skewness,distribution,n_positive,parameter_1,parameter_2,parameter_3,log_likelihood,aic,ks_statistic,ks_p_value
sku,102900005116899,净藕(1),1088,0.02849264706,24.96917188,21.824,20.37654594,1.364399986,Normal,1057,25.70147493,20.21285649,,-4677.497066,9358.994133,0.1037430139,2.333864132e-10
sku,102900005116899,净藕(1),1088,0.02849264706,24.96917188,21.824,20.37654594,1.364399986,Lognormal,1057,1.030859004,17.23386279,0,-4541.090997,9086.181994,0.1093227098,1.86054999e-11
sku,102900005116899,净藕(1),1088,0.02849264706,24.96917188,21.824,20.37654594,1.364399986,Gamma,1057,1.394190182,18.43469798,0,-4456.034981,8916.069962,0.05844446464,0.001400773185
sku,102900005116899,净藕(1),1088,0.02849264706,24.96917188,21.824,20.37654594,1.364399986,Weibull,1057,1.251271895,27.57094142,0,-4450.67761,8905.35522,0.04492251718,0.02721581085
sku,102900005118824,高瓜(1),1095,0.503196347,1.077585388,0,1.5766833,2.030836266,Normal,544,2.169036765,1.623714989,,-1035.588462,2075.176923,0.1379859101,1.69595951e-09
sku,102900005118824,高瓜(1),1095,0.503196347,1.077585388,0,1.5766833,2.030836266,Lognormal,544,0.7751686821,1.656816747,0,-908.024157,1820.048314,0.05070547136,0.117816096
sku,102900005118824,高瓜(1),1095,0.503196347,1.077585388,0,1.5766833,2.030836266,Gamma,544,2.006770822,1.080859229,0,-901.609583,1807.219166,0.04981046512,0.1300088391
sku,102900005118824,高瓜(1),1095,0.503196347,1.077585388,0,1.5766833,2.030836266,Weibull,544,1.439013546,2.40312319,0,-911.7859252,1827.57185,0.06712059244,0.01417613877
sku,102900011001691,菱角,1055,0.9004739336,0.1198312796,0,0.4702974595,5.459130932,Normal,105,1.204019048,0.9575733117,,-144.4364815,292.872963,0.1609438111,0.007638246268
sku,102900011001691,菱角,1055,0.9004739336,0.1198312796,0,0.4702974595,5.459130932,Lognormal,105,0.7816592442,0.9033612438,0,-112.4517863,228.9035727,0.06013667752,0.8199438583
sku,102900011001691,菱角,1055,0.9004739336,0.1198312796,0,0.4702974595,5.459130932,Gamma,105,1.889984583,0.6370523118,0,-114.0004394,232.0008788,0.06909021167,0.6718592508
sku,102900011001691,菱角,1055,0.9004739336,0.1198312796,0,0.4702974595,5.459130932,Weibull,105,1.371898369,1.326164336,0,-116.4293962,236.8587923,0.08519025321,0.4083924218
sku,102900011007969,红莲藕带,1058,0.9092627599,0.09517013233,0,0.3999359464,6.149946685,Normal,96,1.048854167,0.8732085468,,-123.202336,250.404672,0.1963898863,0.001016137741
sku,102900011007969,红莲藕带,1058,0.9092627599,0.09517013233,0,0.3999359464,6.149946685,Lognormal,96,0.7904357522,0.7801017816,0,-89.8019284,183.6038568,0.0633074406,0.8128943002
sku,102900011007969,红莲藕带,1058,0.9092627599,0.09517013233,0,0.3999359464,6.149946685,Gamma,96,1.838139167,0.5706065055,0,-91.70819586,187.4163917,0.09759013473,0.3001382997
sku,102900011007969,红莲藕带,1058,0.9092627599,0.09517013233,0,0.3999359464,6.149946685,Weibull,96,1.334498535,1.150320837,0,-94.2154221,192.4308442,0.1103730671,0.1788512428
sku,102900011009277,荸荠,803,0.7347447073,2.08220797,0,5.410642684,4.833292387,Normal,213,7.849826291,8.067885608,,-746.9547846,1497.909569,0.1702909123,7.190925695e-06
sku,102900011009277,荸荠,803,0.7347447073,2.08220797,0,5.410642684,4.833292387,Lognormal,213,1.013445794,5.039022006,0,-649.544938,1303.089876,0.05789689298,0.4560092743
sku,102900011009277,荸荠,803,0.7347447073,2.08220797,0,5.410642684,4.833292387,Gamma,213,1.268715606,6.18722293,0,-648.3809169,1300.761834,0.03748413288,0.9146158908
sku,102900011009277,荸荠,803,0.7347447073,2.08220797,0,5.410642684,4.833292387,Weibull,213,1.10400721,8.171609444,0,-650.0764244,1304.152849,0.04039149376,0.8637201993
sku,102900011010891,野藕(1),1015,0.8384236453,0.4431073892,0,1.279436278,3.528251775,Normal,164,2.742402439,1.955907876,,-342.7260529,689.4521058,0.1320447541,0.00592369879
sku,102900011010891,野藕(1),1015,0.8384236453,0.4431073892,0,1.279436278,3.528251775,Lognormal,164,0.8106378098,2.059292486,0,-316.7442014,637.4884028,0.08700173166,0.1574001606
sku,102900011010891,野藕(1),1015,0.8384236453,0.4431073892,0,1.279436278,3.528251775,Gamma,164,1.895051737,1.447138558,0,-312.9366614,629.8733228,0.05186491506,0.7496288943
sku,102900011010891,野藕(1),1015,0.8384236453,0.4431073892,0,1.279436278,3.528251775,Weibull,164,1.450537298,3.034932573,0,-313.7275909,631.4551818,0.05309974034,0.723665409
sku,102900011021842,洪湖莲藕(粉藕),856,0.5408878505,7.078271028,0,13.54879361,4.144130283,Normal,393,15.4173028,16.4703112,,-1658.655703,3321.311406,0.1945851581,1.642955931e-13
sku,102900011021842,洪湖莲藕(粉藕),856,0.5408878505,7.078271028,0,13.54879361,4.144130283,Lognormal,393,0.9413920728,10.23822327,0,-1448.075726,2900.151452,0.07913139398,0.01376629732
sku,102900011021842,洪湖莲藕(粉藕),856,0.5408878505,7.078271028,0,13.54879361,4.144130283,Gamma,393,1.364036644,11.30270427,0,-1457.382534,2918.765068,0.0851486903,0.00629216969
sku,102900011021842,洪湖莲藕(粉藕),856,0.5408878505,7.078271028,0,13.54879361,4.144130283,Weibull,393,1.122315851,16.16635747,0,-1463.30079,2930.601581,0.08352355508,0.00781787821
sku,102900051000944,洪湖藕带,1095,0.7643835616,0.6808712329,0,1.626966303,3.009636215,Normal,258,2.889744186,2.202581401,,-569.810691,1143.621382,0.1233525321,0.0007025681991
sku,102900051000944,洪湖藕带,1095,0.7643835616,0.6808712329,0,1.626966303,3.009636215,Lognormal,258,0.8509268208,2.105958298,0,-516.5882398,1037.17648,0.08654001615,0.03947103942
sku,102900051000944,洪湖藕带,1095,0.7643835616,0.6808712329,0,1.626966303,3.009636215,Gamma,258,1.72821474,1.67209787,0,-512.0502042,1028.100408,0.06069439294,0.286212593
sku,102900051000944,洪湖藕带,1095,0.7643835616,0.6808712329,0,1.626966303,3.009636215,Weibull,258,1.363318204,3.168591561,0,-513.8847369,1031.769474,0.05781930411,0.3412203153
sku,102900005115168,牛首生菜,943,0.8918345705,0.9542279958,0,3.191826284,4.014964341,Normal,102,8.821931373,4.977796174,,-308.4404307,620.8808614,0.1250752647,0.07531225886
sku,102900005115168,牛首生菜,943,0.8918345705,0.9542279958,0,3.191826284,4.014964341,Lognormal,102,0.6651059353,7.370550324,0,-306.8794397,617.7588794,0.1119105056,0.1439264066
sku,102900005115168,牛首生菜,943,0.8918345705,0.9542279958,0,3.191826284,4.014964341,Gamma,102,2.937739336,3.00296601,0,-299.2603595,602.5207191,0.08243346501,0.4675579378
sku,102900005115168,牛首生菜,943,0.8918345705,0.9542279958,0,3.191826284,4.014964341,Weibull,102,1.851994093,9.938183124,0,-299.3466668,602.6933335,0.08368991315,0.4483997079
sku,102900005115199,四川红香椿,894,0.8310961969,0.3730257271,0,1.222938849,5.586543373,Normal,151,2.208509934,2.191104166,,-332.7049645,669.4099289,0.1964468892,1.397230643e-05
sku,102900005115199,四川红香椿,894,0.8310961969,0.3730257271,0,1.222938849,5.586543373,Lognormal,151,0.8971469701,1.514343244,0,-260.5331035,525.0662071,0.08088048829,0.2622153706
sku,102900005115199,四川红香椿,894,0.8310961969,0.3730257271,0,1.222938849,5.586543373,Gamma,151,1.469499206,1.502899712,0,-264.5335486,533.0670972,0.08567818683,0.2054876099
sku,102900005115199,四川红香椿,894,0.8310961969,0.3730257271,0,1.222938849,5.586543373,Weibull,151,1.17094118,2.347637152,0,-267.3495988,538.6991976,0.09461520474,0.1255297052
sku,102900005115748,白菜苔,844,0.8909952607,0.8515118483,0,3.080654335,4.391239857,Normal,92,7.811695652,5.717827591,,-290.9525277,585.9050553,0.09836302516,0.3147103813
sku,102900005115748,白菜苔,844,0.8909952607,0.8515118483,0,3.080654335,4.391239857,Lognormal,92,0.9528931622,5.506028899,0,-283.0407324,570.0814648,0.1003448975,0.292504615
sku,102900005115748,白菜苔,844,0.8909952607,0.8515118483,0,3.080654335,4.391239857,Gamma,92,1.57546823,4.958332707,0,-276.0754133,556.1508267,0.04894126755,0.9725447682
sku,102900005115748,白菜苔,844,0.8909952607,0.8515118483,0,3.080654335,4.391239857,Weibull,92,1.349789348,8.511396033,0,-275.4302978,554.8605957,0.04519801773,0.987618837
sku,102900005115762,苋菜,1095,0.4200913242,4.659961644,2.63,5.648836491,1.403570477,Normal,635,8.03568189,5.281910353,,-1957.848748,3919.697496,0.09082299287,5.226674209e-05
sku,102900005115762,苋菜,1095,0.4200913242,4.659961644,2.63,5.648836491,1.403570477,Lognormal,635,0.8319198942,6.158616889,0,-1938.509985,3881.019971,0.129907126,8.381843586e-10
sku,102900005115762,苋菜,1095,0.4200913242,4.659961644,2.63,5.648836491,1.403570477,Gamma,635,2.030309517,3.957860525,0,-1881.868201,3767.736403,0.07988376228,0.000568056227
sku,102900005115762,苋菜,1095,0.4200913242,4.659961644,2.63,5.648836491,1.403570477,Weibull,635,1.553950544,8.928214348,0,-1875.87476,3755.74952,0.05908292459,0.02278906403
sku,102900005115779,云南生菜,1094,0.2595978062,14.54791773,12.3335,14.119063,1.034425835,Normal,810,19.64866914,13.00076139,,-3226.99663,6457.993261,0.08975710163,3.965131242e-06
sku,102900005115779,云南生菜,1094,0.2595978062,14.54791773,12.3335,14.119063,1.034425835,Lognormal,810,0.9607443889,14.52364627,0,-3284.282491,6572.564981,0.1115262634,3.131604879e-09
sku,102900005115779,云南生菜,1094,0.2595978062,14.54791773,12.3335,14.119063,1.034425835,Gamma,810,1.803113039,10.89708116,0,-3151.462195,6306.924391,0.05395604201,0.01723447312
sku,102900005115779,云南生菜,1094,0.2595978062,14.54791773,12.3335,14.119063,1.034425835,Weibull,810,1.496043363,21.65555402,0,-3135.183746,6274.367493,0.03141541949,0.3928634313
sku,102900005115786,竹叶菜,1095,0.3908675799,6.618226484,2.455,8.428337698,1.586622109,Normal,667,10.8650045,8.395147248,,-2365.577106,4735.154213,0.1025694025,1.458554562e-06
sku,102900005115786,竹叶菜,1095,0.3908675799,6.618226484,2.455,8.428337698,1.586622109,Lognormal,667,1.039017001,7.288913864,0,-2296.859958,4597.719917,0.1092411197,2.184860984e-07
sku,102900005115786,竹叶菜,1095,0.3908675799,6.618226484,2.455,8.428337698,1.586622109,Gamma,667,1.395720265,7.7845144,0,-2237.482925,4478.96585,0.06395562028,0.008154584922
sku,102900005115786,竹叶菜,1095,0.3908675799,6.618226484,2.455,8.428337698,1.586622109,Weibull,667,1.262125081,11.66795571,0,-2232.699745,4469.399489,0.05550701752,0.03157373267
sku,102900005115793,小白菜,965,0.5046632124,1.771153368,0,2.502933915,1.354392827,Normal,478,3.575654812,2.488982982,,-1114.12848,2232.25696,0.1093838391,1.952800581e-05
sku,102900005115793,小白菜,965,0.5046632124,1.771153368,0,2.502933915,1.354392827,Lognormal,478,0.905000901,2.582426074,0,-1084.031578,2172.063156,0.07810114177,0.005540802851
sku,102900005115793,小白菜,965,0.5046632124,1.771153368,0,2.502933915,1.354392827,Gamma,478,1.683878945,2.123463104,0,-1053.530602,2111.061203,0.07238801635,0.01267457217
sku,102900005115793,小白菜,965,0.5046632124,1.771153368,0,2.502933915,1.354392827,Weibull,478,1.415293827,3.926679972,0,-1048.965065,2101.93013,0.06754459825,0.02433429008
sku,102900005115823,上海青,1095,0.1607305936,6.948297717,5.101,7.003497151,1.838178658,Normal,919,8.278983678,6.886634663,,-3077.290855,6158.58171,0.152050326,5.135895702e-19
sku,102900005115823,上海青,1095,0.1607305936,6.948297717,5.101,7.003497151,1.838178658,Lognormal,919,0.8435711257,6.029481688,0,-2798.803956,5601.607911,0.02853058007,0.4349409261
sku,102900005115823,上海青,1095,0.1607305936,6.948297717,5.101,7.003497151,1.838178658,Gamma,919,1.724877618,4.799751351,0,-2791.668148,5587.336296,0.05848437521,0.003567536863
sku,102900005115823,上海青,1095,0.1607305936,6.948297717,5.101,7.003497151,1.838178658,Weibull,919,1.312502956,9.036068858,0,-2808.20436,5620.40872,0.0639989975,0.001025244972
sku,102900005115854,萝卜叶,766,0.7859007833,0.5421997389,0,1.392848723,3.477275823,Normal,164,2.532469512,2.005255778,,-346.8124656,697.6249312,0.1409863597,0.0026287493
sku,102900005115854,萝卜叶,766,0.7859007833,0.5421997389,0,1.392848723,3.477275823,Lognormal,164,0.817625142,1.866593695,0,-302.0392003,608.0784006,0.04829668531,0.8208913661
sku,102900005115854,萝卜叶,766,0.7859007833,0.5421997389,0,1.392848723,3.477275823,Gamma,164,1.78750109,1.416765297,0,-302.4396977,608.8793954,0.05899057023,0.5968945846
sku,102900005115854,萝卜叶,766,0.7859007833,0.5421997389,0,1.392848723,3.477275823,Weibull,164,1.353307441,2.77900215,0,-305.0630563,614.1261125,0.06359181391,0.5008360691
sku,102900005115878,茼蒿,963,0.466251298,4.271281412,1.996,5.54797867,1.773862024,Normal,514,8.002420233,5.273478252,,-1583.957146,3171.914291,0.1143054548,2.630451593e-06
sku,102900005115878,茼蒿,963,0.466251298,4.271281412,1.996,5.54797867,1.773862024,Lognormal,514,0.7178968129,6.431565391,0,-1515.645708,3035.291416,0.07400063691,0.006804880629
sku,102900005115878,茼蒿,963,0.466251298,4.271281412,1.996,5.54797867,1.773862024,Gamma,514,2.441790918,3.277274961,0,-1491.2841,2986.568199,0.03606413941,0.5042584577
sku,102900005115878,茼蒿,963,0.466251298,4.271281412,1.996,5.54797867,1.773862024,Weibull,514,1.616472389,8.963164088,0,-1499.582688,3003.165376,0.0506138687,0.1387893155
sku,102900005115885,蔡甸藜蒿,988,0.6933198381,0.9526194332,0,2.051393753,3.234792018,Normal,303,3.106231023,2.651834378,,-725.4396161,1454.879232,0.1556512349,7.069626515e-07
sku,102900005115885,蔡甸藜蒿,988,0.6933198381,0.9526194332,0,2.051393753,3.234792018,Lognormal,303,0.8529038093,2.230016208,0,-624.7371811,1253.474362,0.05210447402,0.3704502975
sku,102900005115885,蔡甸藜蒿,988,0.6933198381,0.9526194332,0,2.051393753,3.234792018,Gamma,303,1.655796516,1.875973885,0,-626.3941139,1256.788228,0.05706510557,0.2669598384
sku,102900005115885,蔡甸藜蒿,988,0.6933198381,0.9526194332,0,2.051393753,3.234792018,Weibull,303,1.282259072,3.374080711,0,-631.5743567,1267.148713,0.06302913515,0.1725036918
sku,102900005115908,菜心,1093,0.3494967978,4.115414456,2.581,5.635102432,3.014648227,Normal,711,6.326509142,5.901405773,,-2271.025806,4546.051612,0.1506934615,1.465098258e-14
sku,102900005115908,菜心,1093,0.3494967978,4.115414456,2.581,5.635102432,3.014648227,Lognormal,711,0.9050267618,4.411705341,0,-1993.223857,3990.447715,0.04772419711,0.0759170832
sku,102900005115908,菜心,1093,0.3494967978,4.115414456,2.581,5.635102432,3.014648227,Gamma,711,1.532390096,4.128523903,0,-1987.867795,3979.735591,0.03486853756,0.3450309375
sku,102900005115908,菜心,1093,0.3494967978,4.115414456,2.581,5.635102432,3.014648227,Weibull,711,1.219239278,6.790202041,0,-1999.189143,4002.378287,0.04393730232,0.1246969867
sku,102900005115946,木耳菜,1095,0.6155251142,1.431474886,0,2.294335911,1.899116577,Normal,421,3.723194774,2.271304206,,-942.7422435,1889.484487,0.09051633024,0.001882840084
sku,102900005115946,木耳菜,1095,0.6155251142,1.431474886,0,2.294335911,1.899116577,Lognormal,421,0.668852314,3.065497344,0,-899.6586257,1803.317251,0.06688152207,0.04417297666
sku,102900005115946,木耳菜,1095,0.6155251142,1.431474886,0,2.294335911,1.899116577,Gamma,421,2.727573841,1.365020708,0,-883.2693534,1770.538707,0.03794158168,0.5663142083
sku,102900005115946,木耳菜,1095,0.6155251142,1.431474886,0,2.294335911,1.899116577,Weibull,421,1.733603578,4.190697274,0,-889.1625313,1782.325063,0.0507153875,0.2213993222
sku,102900005115960,大白菜,1095,0.5616438356,17.53067945,0,32.50772474,2.966493752,Normal,480,39.9918625,38.89024735,,-2438.24738,4880.49476,0.2065763851,1.925384933e-18
sku,102900005115960,大白菜,1095,0.5616438356,17.53067945,0,32.50772474,2.966493752,Lognormal,480,0.8942479753,27.28601879,0,-2214.499587,4432.999175,0.06141542664,0.05129344116
sku,102900005115960,大白菜,1095,0.5616438356,17.53067945,0,32.50772474,2.966493752,Gamma,480,1.45200845,27.54244475,0,-2232.251217,4468.502434,0.1194467367,2.002700053e-06
sku,102900005115960,大白菜,1095,0.5616438356,17.53067945,0,32.50772474,2.966493752,Weibull,480,1.165806841,42.45850177,0,-2240.844607,4485.689214,0.1116118436,1.155718168e-05
sku,102900005115984,云南油麦菜,1092,0.2838827839,9.440548535,6.3805,10.99494143,1.806649276,Normal,782,13.18296547,10.93047249,,-2979.805575,5963.611151,0.1288262665,8.955232727e-12
sku,102900005115984,云南油麦菜,1092,0.2838827839,9.440548535,6.3805,10.99494143,1.806649276,Lognormal,782,0.9255290096,9.260983209,0,-2789.6747,5583.3494,0.05574614139,0.01490045784
sku,102900005115984,云南油麦菜,1092,0.2838827839,9.440548535,6.3805,10.99494143,1.806649276,Gamma,782,1.561768513,8.441049595,0,-2757.348031,5518.696062,0.02320393743,0.7846621643
sku,102900005115984,云南油麦菜,1092,0.2838827839,9.440548535,6.3805,10.99494143,1.806649276,Weibull,782,1.275459628,14.26553582,0,-2763.236516,5530.473031,0.03450747613,0.3025016869
sku,102900005116790,黄心菜(1),1019,0.5613346418,2.864059863,0,5.812357395,5.72745346,Normal,447,6.52903132,7.285984532,,-1521.986326,3047.972651,0.2074529762,2.375118281e-17
sku,102900005116790,黄心菜(1),1019,0.5613346418,2.864059863,0,5.812357395,5.72745346,Lognormal,447,0.8205998223,4.66801044,0,-1234.592441,2473.184881,0.05990990761,0.07756866469
sku,102900005116790,黄心菜(1),1019,0.5613346418,2.864059863,0,5.812357395,5.72745346,Gamma,447,1.637011879,3.988383594,0,-1257.331282,2518.662564,0.08767066011,0.001939753271
sku,102900005116790,黄心菜(1),1019,0.5613346418,2.864059863,0,5.812357395,5.72745346,Weibull,447,1.181881187,6.979462257,0,-1273.512514,2551.025028,0.09646104562,0.0004515187749
sku,102900005118817,菠菜,1095,0.3333333333,4.765651142,3.796,5.738139897,2.603245419,Normal,730,7.148476712,5.688215987,,-2304.854694,4613.709388,0.1716782121,2.780273476e-19
sku,102900005118817,菠菜,1095,0.3333333333,4.765651142,3.796,5.738139897,2.603245419,Lognormal,730,0.7326275545,5.5784412,0,-2063.512972,4131.025944,0.06381206271,0.005001038643
sku,102900005118817,菠菜,1095,0.3333333333,4.765651142,3.796,5.738139897,2.603245419,Gamma,730,2.168177688,3.296997637,0,-2063.540097,4131.080195,0.08452182749,5.507003286e-05
sku,102900005118817,菠菜,1095,0.3333333333,4.765651142,3.796,5.738139897,2.603245419,Weibull,730,1.428208811,7.927967244,0,-2091.073134,4186.146268,0.104617787,2.069982989e-07
sku,102900005118831,娃娃菜,1095,0.3716894977,8.221004566,5,16.49227069,13.98402945,Normal,688,13.08430233,19.21629904,,-3009.791784,6023.583568,0.2647213711,4.802971257e-43
sku,102900005118831,娃娃菜,1095,0.3716894977,8.221004566,5,16.49227069,13.98402945,Lognormal,688,0.8346244845,9.066571758,0,-2368.61845,4741.236901,0.07641715552,0.0006106395114
sku,102900005118831,娃娃菜,1095,0.3716894977,8.221004566,5,16.49227069,13.98402945,Gamma,688,1.508087828,8.676087744,0,-2425.77387,4855.54774,0.107899844,1.979113028e-07
sku,102900005118831,娃娃菜,1095,0.3716894977,8.221004566,5,16.49227069,13.98402945,Weibull,688,1.104736119,13.6926703,0,-2449.577975,4903.15595,0.1203737675,3.817424236e-09
sku,102900005119975,红薯尖,1095,0.4821917808,4.713451142,0.732,7.280751462,2.552815827,Normal,567,9.102696649,7.900542268,,-1976.488251,3956.976503,0.159061396,5.349333069e-13
sku,102900005119975,红薯尖,1095,0.4821917808,4.713451142,0.732,7.280751462,2.552815827,Lognormal,567,0.942877209,6.320881007,0,-1816.655477,3637.310954,0.06178473695,0.02524964886
sku,102900005119975,红薯尖,1095,0.4821917808,4.713451142,0.732,7.280751462,2.552815827,Gamma,567,1.516082057,6.004092328,0,-1792.804507,3589.609013,0.05591720009,0.05552224348
sku,102900005119975,红薯尖,1095,0.4821917808,4.713451142,0.732,7.280751462,2.552815827,Weibull,567,1.244249817,9.798329698,0,-1797.814268,3599.628536,0.06358172378,0.01952691634
sku,102900005122654,枝江红菜苔,867,0.5570934256,5.724286044,0,11.26012271,3.367836665,Normal,384,12.92436458,13.90008731,,-1555.520123,3115.040247,0.186126977,4.054188252e-12
sku,102900005122654,枝江红菜苔,867,0.5570934256,5.724286044,0,11.26012271,3.367836665,Lognormal,384,1.037361974,7.996998728,0,-1357.319337,2718.638673,0.03551870582,0.7040432972
sku,102900005122654,枝江红菜苔,867,0.5570934256,5.724286044,0,11.26012271,3.367836665,Gamma,384,1.180342081,10.94967704,0,-1363.537152,2731.074304,0.06316164274,0.08946694021
sku,102900005122654,枝江红菜苔,867,0.5570934256,5.724286044,0,11.26012271,3.367836665,Weibull,384,1.051675021,13.21402843,0,-1365.82955,2735.6591,0.06374229216,0.08450700774
sku,102900011000571,随州泡泡青,808,0.8242574257,0.8356695545,0,2.547162206,5.134776579,Normal,142,4.755077465,4.275598958,,-407.8045081,819.6090162,0.1520430399,0.002484054676
sku,102900011000571,随州泡泡青,808,0.8242574257,0.8356695545,0,2.547162206,5.134776579,Lognormal,142,0.8811871909,3.345218201,0,-354.9979064,713.9958128,0.0810700625,0.2921810604
sku,102900011000571,随州泡泡青,808,0.8242574257,0.8356695545,0,2.547162206,5.134776579,Gamma,142,1.567625301,3.033299769,0,-355.7807292,715.5614585,0.05131029673,0.8299518812
sku,102900011000571,随州泡泡青,808,0.8242574257,0.8356695545,0,2.547162206,5.134776579,Weibull,142,1.240998065,5.125611554,0,-358.0071812,720.0143624,0.04596152288,0.9114707992
sku,102900011006948,外地茼蒿,1092,0.7536630037,0.6708928571,0,1.503491716,2.749342991,Normal,269,2.723475836,1.893737571,,-553.4650684,1110.930137,0.09384609154,0.01635598849
sku,102900011006948,外地茼蒿,1092,0.7536630037,0.6708928571,0,1.503491716,2.749342991,Lognormal,269,0.8147366094,2.059720347,0,-520.9503379,1045.900676,0.1000818349,0.008479126234
sku,102900011006948,外地茼蒿,1092,0.7536630037,0.6708928571,0,1.503491716,2.749342991,Gamma,269,1.94004291,1.403822474,0,-509.6692756,1023.338551,0.06730948068,0.1669228307
sku,102900011006948,外地茼蒿,1092,0.7536630037,0.6708928571,0,1.503491716,2.749342991,Weibull,269,1.483750723,3.01909894,0,-509.8507007,1023.701401,0.04885957863,0.5258786086
sku,102900011008164,奶白菜,1041,0.2680115274,5.589784822,5.262,5.346075476,1.315388806,Normal,762,7.63643832,4.838998036,,-2282.682416,4569.364832,0.1394232021,2.198753947e-13
